"name","volume (cc)","in"
28aa,90,0
30aa,130,0
32aa,180,0
34aa,240,0
36aa,310,0
38aa,390,0
40aa,480,0
42aa,590,0
44aa,710,0
46aa,850,0
48aa,1000,0
50aa,1180,0
52aa,1370,0
26a,90,1
28a,130,1
30a,180,1
32a,240,1
34a,310,1
36a,390,1
38a,480,1
40a,590,1
42a,710,1
44a,850,1
46a,1000,1
48a,1180,1
50a,1370,1
52a,1580,1
24b,90,2
26b,130,2
28b,180,2
30b,240,2
32b,310,2
34b,390,2
36b,480,2
38b,590,2
40b,710,2
42b,850,2
44b,1000,2
46b,1180,2
48b,1370,2
50b,1580,2
52b,1810,2
24c,130,3
26c,180,3
28c,240,3
30c,310,3
32c,390,3
34c,480,3
36c,590,3
38c,710,3
40c,850,3
42c,1000,3
44c,1180,3
46c,1370,3
48c,1580,3
50c,1810,3
52c,2060,3
24d,180,4
26d,240,4
28d,310,4
30d,390,4
32d,480,4
34d,590,4
36d,710,4
38d,850,4
40d,1000,4
42d,1180,4
44d,1370,4
46d,1580,4
48d,1810,4
50d,2060,4
52d,2340,4
24dd,240,5
26dd,310,5
28dd,390,5
30dd,480,5
32dd,590,5
34dd,710,5
36dd,850,5
38dd,1000,5
40dd,1180,5
42dd,1370,5
44dd,1580,5
46dd,1810,5
48dd,2060,5
50dd,2340,5
52dd,2640,5
24e,240,5
26e,310,5
28e,390,5
30e,480,5
32e,590,5
34e,710,5
36e,850,5
38e,1000,5
40e,1180,5
42e,1370,5
44e,1580,5
46e,1810,5
48e,2060,5
50e,2340,5
52e,2640,5
24ddd,310,6
26ddd,390,6
28ddd,480,6
30ddd,590,6
32ddd,710,6
34ddd,850,6
36ddd,1000,6
38ddd,1180,6
40ddd,1370,6
42ddd,1580,6
44ddd,1810,6
46ddd,2060,6
48ddd,2340,6
50ddd,2640,6
52ddd,3000,6
24f,310,6
26f,390,6
28f,480,6
30f,590,6
32f,710,6
34f,850,6
36f,1000,6
38f,1180,6
40f,1370,6
42f,1580,6
44f,1810,6
46f,2060,6
48f,2340,6
50f,2640,6
52f,3000,6
24dddd,390,7
26dddd,480,7
28dddd,590,7
30dddd,710,7
32dddd,850,7
34dddd,1000,7
36dddd,1180,7
38dddd,1370,7
40dddd,1580,7
42dddd,1810,7
44dddd,2060,7
46dddd,2340,7
48dddd,2640,7
50dddd,3000,7
24g,390,7
26g,480,7
28g,590,7
30g,710,7
32g,850,7
34g,1000,7
36g,1180,7
38g,1370,7
40g,1580,7
42g,1810,7
44g,2060,7
46g,2340,7
48g,2640,7
50g,3000,7
24h,480,8
26h,590,8
28h,710,8
30h,850,8
32h,1000,8
34h,1180,8
36h,1370,8
38h,1580,8
40h,1810,8
42h,2060,8
44h,2340,8
46h,2640,8
48h,3000,8
24i,590,9
26i,710,9
28i,850,9
30i,1000,9
32i,1180,9
34i,1370,9
36i,1580,9
38i,1810,9
40i,2060,9
42i,2340,9
44i,2640,9
46i,3000,9
24j,710,10
26j,850,10
28j,1000,10
30j,1180,10
32j,1370,10
34j,1580,10
36j,1810,10
38j,2060,10
40j,2340,10
42j,2640,10
44j,3000,10
24k,850,11
26k,1000,11
28k,1180,11
30k,1370,11
32k,1580,11
34k,1810,11
36k,2060,11
38k,2340,11
40k,2640,11
42k,3000,11
24l,1000,12
26l,1180,12
28l,1370,12
30l,1580,12
32l,1810,12
34l,2060,12
36l,2340,12
38l,2640,12
40l,3000,12
24m,1180,13
26m,1370,13
28m,1580,13
30m,1810,13
32m,2060,13
34m,2340,13
36m,2640,13
38m,3000,13
24n,1370,14
26n,1580,14
28n,1810,14
30n,2060,14
32n,2340,14
34n,2640,14
36n,3000,14